id,timestamp,dayoftheweek,value
RECE9K21z5,1539891184,0,129
RECE9K21F5,1539891184,0,-99
Y0N0YOQ887,1539891183,0,67
S5PIBIH17G,1539891182,0,52
Q12O4W7G2T,1539891183,0,44
12BVT60R9X,1539891183,0,78
A4QJUH2060,1539891182,0,99
V2FDN456R9,1539891180,0,69
7B55ZP4AMH,1539891183,0,63
TXJE6WDKRU,1539891182,0,54
43Q2S9ZTNH,1539891182,0,60
3P3EEC963F,1539891180,0,66
1HTB15BF7S,1539891182,0,78
H78H8ET93Z,1539891180,0,39
U908LT7CNW,1539891181,0,40
D1L6Y4UWB7,1539891181,0,71
L74L3988H1,1539891180,0,62
N0BOUUOZBA,1539891181,0,54
47T1UUQRYQ,1539891181,0,50
RECE9K29F5,1539891184,0,-20
609H9A8L4H,1539891184,0,58
704R1T9IB7,1539891180,0,40
25DIKBGJKT,1539891183,0,97
UK6D4RQ85F,1539891180,0,57
PIZY3BTWRV,1539891180,0,56
8J7L74C9N0,1539891182,0,69
77CK62NV0Y,1539891182,0,69
8N66IZ5J4I,1539891182,0,65
Y3R23R949S,1539891184,0,56
8BMJ9WQ779,1539891180,0,68
Y59XCOTAI1,1539891180,0,54
68V95C7Y4J,1539891182,0,54
78M8Y1O005,1539891182,0,94
9I60985J72,1539891184,0,68
VWV7992WO4,1539891184,0,60
RN4G9TQ244,1539891184,0,62
7W1TR8KTCU,1539891184,0,62
K3V20TCXR5,1539891184,0,87
5WYZMN8HZ5,1539891183,0,60
68F3EC0578,1539891180,0,57
EYDN928H0F,1539891184,0,53
40O3PU5OUC,1539891180,0,54
RECE9K21F5,1539891483,0,61
Y0N0YOQ887,1539891480,0,60
S5PIBIH17G,1539891482,0,60
Q12O4W7G2T,1539891482,0,47
12BVT60R9X,1539891482,0,62
A4QJUH2060,1539891482,0,59
V2FDN456R9,1539891481,0,68
7B55ZP4AMH,1539891484,0,98
TXJE6WDKRU,1539891483,0,53
43Q2S9ZTNH,1539891480,0,74
3P3EEC963F,1539891480,0,60
1HTB15BF7S,1539891481,0,55
H78H8ET93Z,1539891482,0,62
U908LT7CNW,1539891480,0,95
D1L6Y4UWB7,1539891483,0,56
L74L3988H1,1539891481,0,56
N0BOUUOZBA,1539891482,0,44
47T1UUQRYQ,1539891480,0,88
609H9A8L4H,1539891481,0,59
704R1T9IB7,1539891481,0,61
25DIKBGJKT,1539891482,0,54
UK6D4RQ85F,1539891484,0,96
